Protein	logFC	adj.P.Val	class
CTSS	0.514821520829466	6.04622912704246e-13	Non-significant
EVL	0.516949108164979	6.08915187792153e-13	Non-significant
WDR37	-0.241236926	6.15607448875293e-13	Non-significant
SRPK2	-0.151541678	6.30418267374805e-13	Non-significant
ZNF512B	-0.138330411	6.3407492563844e-13	Non-significant
SLC35B3	-0.080469935	6.36742005993647e-13	Non-significant
PNP	0.290293930751094	6.39100133236894e-13	Non-significant
ZADH2	-0.235130403	6.51805160764165e-13	Non-significant
SDHC	-0.052989223	6.58137599933772e-13	Non-significant
HSP90AA1	0.29300514628892	6.78834979325017e-13	Non-significant
ENO2	0.556386026916517	6.8266415985678e-13	Non-significant
PRKCD	0.221748438606751	6.8918827194712e-13	Non-significant
TMC5	0.25986073518354	6.89442071606539e-13	Non-significant
ALDOC	0.371585247973921	6.89442071606539e-13	Non-significant
ACSS3	-0.206992453	6.97435093011927e-13	Non-significant
VPS33A	0.142529447854935	6.99863303688607e-13	Non-significant
SHROOM2	-0.14694917	7.04691437066428e-13	Non-significant
TMEM205	-0.405754441	7.10901833084003e-13	Non-significant
EPS8	0.348263681722412	7.14476386557282e-13	Non-significant
STAT5B	0.223544777421231	7.17093689626461e-13	Non-significant
SERPINA4	0.476260253650674	7.19991401611598e-13	Non-significant
SOAT1	-0.2568695	7.28023516112749e-13	Non-significant
MED10	-0.120085625	7.3541718099959e-13	Non-significant
CACNA2D1	0.308170073331359	7.44332793967793e-13	Non-significant
PRPF8	0.189012849505343	7.64582551246103e-13	Non-significant
RPS20	-0.484260781	7.6482344694603e-13	Non-significant
IRF9	0.185967143410796	7.68524014433979e-13	Non-significant
GGT1	-0.488840114	7.69715512048548e-13	Non-significant
SUN1	0.369712187894499	7.77038098840506e-13	Non-significant
HNMT	0.435590131066886	7.86878066386443e-13	Non-significant
TRPM4	0.207631369520912	7.91110768678558e-13	Non-significant
DCAF8	-0.183450724	7.91110768678558e-13	Non-significant
PHF6	-0.21289054	8.00672465744491e-13	Non-significant
GOLGA2	-0.182746378	8.02566313160335e-13	Non-significant
TNPO1	0.253043134461817	8.0684867014277e-13	Non-significant
DHX38	0.123172661832694	8.22751429195744e-13	Non-significant
SDHAF1	0.0310643834546924	8.32490428058325e-13	Non-significant
EIF2B5	-0.227518881	8.53459716477011e-13	Non-significant
C1QTNF6	0.163177732364087	8.58232098536844e-13	Non-significant
ZW10	-0.19918112	8.5951662295118e-13	Non-significant
TRIM22	0.206541292427231	8.73999193322346e-13	Non-significant
RPL3L	-1.116066461	8.74118787403824e-13	DOWN
GTPBP6	-0.123905589	8.90780509471115e-13	Non-significant
BOLA3	-0.173083821	8.91959954600237e-13	Non-significant
SLC38A10	-0.191662702	9.08468348094001e-13	Non-significant
RPL18	-0.552798385	9.16782338227768e-13	Non-significant
RRP8	-0.137790726	9.55898257513499e-13	Non-significant
PABPN1	-0.301205305	9.69631040757513e-13	Non-significant
ATG4A	-0.08210971	9.97217434325476e-13	Non-significant
TIMM21	-0.226621956	1.00831801198755e-12	Non-significant
TPM1	0.538685788652967	1.00846783271447e-12	Non-significant
CDH3	0.153810004308836	1.01367114345086e-12	Non-significant
RREB1	-0.147520111	1.04199407136561e-12	Non-significant
FGL2	0.467957244482028	1.04670415398254e-12	Non-significant
DAB2IP	0.138043299288992	1.05287350954869e-12	Non-significant
GBP4	0.316763565240195	1.06069273131222e-12	Non-significant
WDR20	-0.071841417	1.0644647123389e-12	Non-significant
PFKFB3	0.130402627272752	1.0890503851952e-12	Non-significant
DUS1L	-0.058450243	1.09344578313189e-12	Non-significant
ASPA	-0.31140368	1.09411926764101e-12	Non-significant
ANXA10	0.86765893436331	1.10661344860571e-12	Non-significant
JUND	0.0812082838148147	1.14339733051303e-12	Non-significant
MEMO1	0.217665581278238	1.15716645952378e-12	Non-significant
TMEM68	-0.176584564	1.15762251452329e-12	Non-significant
AGO1	-0.143029477	1.1595964163795e-12	Non-significant
SLC2A3	0.402288015467945	1.18437322439916e-12	Non-significant
ADRA2A	-0.080821367	1.19159728540316e-12	Non-significant
TMEM245	-0.396575484	1.19380804293528e-12	Non-significant
TMEM131	-0.142910358	1.20041460310783e-12	Non-significant
LARS2	-0.173044618	1.20680704851913e-12	Non-significant
MYD88	0.116183959036505	1.21104784772816e-12	Non-significant
VARS2	-0.111864707	1.21364132696674e-12	Non-significant
SNTA1	-0.087227152	1.264087553782e-12	Non-significant
CILP	0.642658150633873	1.26501657033949e-12	Non-significant
CDCP1	0.305961364266589	1.28734290498176e-12	Non-significant
PRKAA2	-0.071116238	1.28862173936204e-12	Non-significant
WIPF2	-0.205722945	1.30114304717867e-12	Non-significant
ALDH18A1	-0.415108824	1.30607343798233e-12	Non-significant
DNAJC30	-0.041189571	1.3147995011781e-12	Non-significant
HLA_DPB1	0.537774107880709	1.31840100689965e-12	Non-significant
NKTR	-0.09166779	1.31840100689965e-12	Non-significant
DYNLL2	-0.419829438	1.32897377892236e-12	Non-significant
LTV1	-0.134973036	1.33747055794733e-12	Non-significant
CHMP4B	0.287839626715209	1.36162405823697e-12	Non-significant
SMARCD3	-0.093296044	1.41587031383919e-12	Non-significant
AK3	-0.325565738	1.41805005336399e-12	Non-significant
EXOC3	0.21516608238162	1.43721487400561e-12	Non-significant
IBA57	-0.250394944	1.43853314551106e-12	Non-significant
USP16	-0.140561217	1.4500220246964e-12	Non-significant
RAB11FIP5	0.238322701374147	1.47898917302152e-12	Non-significant
DAP	-0.391426029	1.55729203623102e-12	Non-significant
TUBA1A	0.456432576749778	1.60642999415202e-12	Non-significant
ARHGAP24	-0.099785451	1.64062733394341e-12	Non-significant
PCDH9	-0.114813397	1.71128619557122e-12	Non-significant
ORM1	0.7525613450488	1.73468314601157e-12	Non-significant
AIFM2	0.203731742401514	1.7645639398294e-12	Non-significant
CMIP	0.122705094920641	1.78717649270028e-12	Non-significant
PACSIN2	-0.321155941	1.79237649133045e-12	Non-significant
STK3	0.213383241774575	1.80681404741138e-12	Non-significant
ALDH9A1	-0.444457692	1.83918012866216e-12	Non-significant
KDELC2	0.325327760188814	1.93060437951331e-12	Non-significant
SKIV2L	-0.177413132	1.97995732040532e-12	Non-significant
DHX9	0.202694299324737	1.9963258759027e-12	Non-significant
ANAPC2	-0.067751735	2.02315824189015e-12	Non-significant
ANKHD1_EIF4EBP3	-0.118116532	2.02923648067808e-12	Non-significant
EIF3K	-0.268252426	2.04514652052442e-12	Non-significant
CEACAM6	0.262082699810036	2.07136196585194e-12	Non-significant
CEMIP	0.211010478675711	2.08549675950956e-12	Non-significant
RIPOR1	0.161165446678388	2.08552981097792e-12	Non-significant
VPS54	-0.061684599	2.12299856792897e-12	Non-significant
DAPK1	0.092728436686525	2.1433641375717e-12	Non-significant
C3	0.623447856372229	2.14833950844106e-12	Non-significant
COL6A6	-0.13285871	2.15143975388353e-12	Non-significant
TXNRD1	0.266190313657639	2.15645970262064e-12	Non-significant
CCDC91	-0.309742663	2.16251826784772e-12	Non-significant
IMPAD1	-0.360251633	2.17005130723813e-12	Non-significant
PRRX1	0.129465847301144	2.17670831268941e-12	Non-significant
CTSD	0.423794341282135	2.18059665181454e-12	Non-significant
UBE2J1	-0.255769491	2.18950178166096e-12	Non-significant
SHANK3	-0.066169961	2.22045600927405e-12	Non-significant
CAPN2	0.491664527182613	2.24187225703111e-12	Non-significant
SLC35A2	-0.066064347	2.26510813941089e-12	Non-significant
TAMM41	-0.209386204	2.31309182836939e-12	Non-significant
DECR2	0.338371788063938	2.33484347799028e-12	Non-significant
DPY30	0.570321582208217	2.3970829917067e-12	Non-significant
TNIK	0.170411830930876	2.42314459119238e-12	Non-significant
PIGO	-0.111698454	2.49621666100967e-12	Non-significant
CAPN7	-0.12118345	2.61904439517109e-12	Non-significant
PRKCB	0.43548659497785	2.64028505005736e-12	Non-significant
EPDR1	0.282704879369908	2.652494898262e-12	Non-significant
FZD1	0.204199348461191	2.67772971470186e-12	Non-significant
RAP2B	0.226952958274883	2.72048119953722e-12	Non-significant
ERBIN	0.150299487357853	2.72150079668725e-12	Non-significant
SELENBP1	-0.42159021	2.73298294877302e-12	Non-significant
BST2	0.247593318151239	2.73560744280507e-12	Non-significant
ATP2A3	-0.427465454	2.73604384358628e-12	Non-significant
LDLR	0.200125648821215	2.83727983370065e-12	Non-significant
TRAFD1	0.215495166553614	2.86589053887213e-12	Non-significant
GATAD2B	0.216580472421037	2.89616045102077e-12	Non-significant
PPP5C	0.282803521484542	3.02115761726045e-12	Non-significant
CEACAM1	0.323382851042189	3.03350631456469e-12	Non-significant
MIEF1	-0.150796143	3.12497054224547e-12	Non-significant
ZNF446	-0.020024409	3.17350807354938e-12	Non-significant
TRIAP1	-0.304896745	3.17547270956174e-12	Non-significant
CTNND2	-0.100826021	3.26960135239895e-12	Non-significant
LBP	0.516746706173539	3.27136811333688e-12	Non-significant
STAT3	0.293261838830362	3.28112736628084e-12	Non-significant
RSBN1	-0.095202432	3.39277102132296e-12	Non-significant
DOCK10	0.272954922761969	3.41889229989474e-12	Non-significant
FECH	-0.214572138	3.4252696749788e-12	Non-significant
RAB3GAP1	0.122639712663486	3.46030184875166e-12	Non-significant
PA2G4	-0.310704411	3.46046102078052e-12	Non-significant
CRYZ	-0.414468895	3.46046102078052e-12	Non-significant
GPR89A	-0.170642873	3.52411204648895e-12	Non-significant
FAM221A	-0.024843446	3.60849291978155e-12	Non-significant
MRC1	0.454487401571741	3.61105974079135e-12	Non-significant
ANKRD12	-0.036022823	3.63551761989131e-12	Non-significant
FPGT	-0.116232787	3.63800295933193e-12	Non-significant
PRELP	0.931594216750112	3.68275064139432e-12	Non-significant
FERMT1	0.22793503548192	3.68285817117173e-12	Non-significant
SSH1	0.113129845506488	3.68697806447136e-12	Non-significant
UBXN7	-0.242857128	3.68700588568013e-12	Non-significant
FMC1	-0.039423808	3.76478999064349e-12	Non-significant
BNIP1	-0.194817271	3.85772183473582e-12	Non-significant
TNFRSF12A	0.0477969657582374	3.895984244869e-12	Non-significant
PTPN3	-0.025849473	3.92170467895185e-12	Non-significant
TANC1	0.103795437918226	3.96465885584951e-12	Non-significant
MTPAP	-0.231712629	4.04101731856478e-12	Non-significant
CAPRIN1	0.277058741788424	4.07231597445193e-12	Non-significant
RAB18	-0.361190211	4.1054429543217e-12	Non-significant
BCAS1	0.731335286926075	4.15414833442529e-12	Non-significant
CSNK1D	0.158782164563734	4.24968833350992e-12	Non-significant
PSMD8	0.312555370286336	4.27769985292863e-12	Non-significant
RAPGEF1	0.109786802144883	4.30349939393254e-12	Non-significant
CCDC127	-0.208019351	4.3163375525379e-12	Non-significant
CFI	0.496511061905661	4.36398326442515e-12	Non-significant
LDAH	-0.146877515	4.40403916198436e-12	Non-significant
RPS15A	-0.52649984	4.41702788352933e-12	Non-significant
MKI67	0.244730479590484	4.52069785912231e-12	Non-significant
DOCK8	0.28082132527337	4.52623678614296e-12	Non-significant
ACTBL2	0.361454967727033	4.53928892692324e-12	Non-significant
OXSR1	0.283960779628012	4.56091886578712e-12	Non-significant
HELZ2	0.0821186987120811	4.56781904774536e-12	Non-significant
SYDE1	0.102207370808726	4.72036613574702e-12	Non-significant
LIMD2	0.421373795796484	4.7580357714117e-12	Non-significant
SNX13	-0.037517465	4.86948673412737e-12	Non-significant
SERPINA1	0.697089604024036	4.91998527703857e-12	Non-significant
HIST2H3PS2	0.802695740764673	4.98584857612463e-12	Non-significant
HS1BP3	0.197854456891589	4.99037568397333e-12	Non-significant
PIK3AP1	-0.299045134	5.0565106699985e-12	Non-significant
NUP35	-0.178308004	5.10223816843341e-12	Non-significant
PSMB1	0.422377402208997	5.1624288086945e-12	Non-significant
PAXX	-0.283157707	5.17916604060546e-12	Non-significant
EIF4H	-0.325577672	5.17916604060546e-12	Non-significant
FTL	0.725192418845111	5.26091369574484e-12	Non-significant
CSTA	0.555474170774105	5.28806188572228e-12	Non-significant
AHCYL1	-0.288104015	5.3722336521308e-12	Non-significant
PPP2CB	0.29091556125532	5.38412378447625e-12	Non-significant
PRMT5	-0.171483353	5.45070831667686e-12	Non-significant
ARCN1	-0.322890459	5.45477182474427e-12	Non-significant
ARRB2	0.251403777507293	5.77560929745561e-12	Non-significant
PSAP	0.354096340086069	5.77560929745561e-12	Non-significant
COQ5	-0.236683099	5.83611635179938e-12	Non-significant
DDAH1	-0.556875982	5.86698363220737e-12	Non-significant
TCN1	0.473117060538323	5.93720548299166e-12	Non-significant
SPAG7	-0.157676296	6.06320879866276e-12	Non-significant
ADIRF	-0.737915663	6.10643645299753e-12	Non-significant
TIMMDC1	-0.166627522	6.15270332937288e-12	Non-significant
AQP1	-0.409284032	6.35269606672895e-12	Non-significant
MRPS16	-0.23810534	6.35913671247015e-12	Non-significant
GOLM1	0.484759132789359	6.40619430661854e-12	Non-significant
CROCC	-0.158047207	6.40740540359871e-12	Non-significant
RNASE6	0.328198902048564	6.40740540359871e-12	Non-significant
ARHGEF6	0.278382009294021	6.56560526450044e-12	Non-significant
SRRM1	-0.301003949	6.60117427241049e-12	Non-significant
RASSF2	0.247824979833018	6.76464127729576e-12	Non-significant
NDUFV1	-0.393498033	6.79481109668124e-12	Non-significant
HMGN1	-0.335690692	6.88661985735658e-12	Non-significant
RRAS	0.355596782598231	7.06527392691115e-12	Non-significant
CFD	0.500963149606601	7.22444975470287e-12	Non-significant
HABP2	0.340558890909267	7.23467656998511e-12	Non-significant
PTPRC	0.474887110330362	7.27324145658322e-12	Non-significant
MLPH	0.269653390888441	7.27737438216688e-12	Non-significant
PDE3B	-0.017448002	7.29888058803349e-12	Non-significant
SP110	0.277138247730423	7.5882351800228e-12	Non-significant
ASPN	0.777981894603435	7.63255130679041e-12	Non-significant
NRP1	0.207918669925982	7.70780956848833e-12	Non-significant
C8G	0.475516997790332	7.82674505619338e-12	Non-significant
PIP4K2A	0.288401446760779	7.84802306277421e-12	Non-significant
C1orf116	0.327050290604291	7.85833226827603e-12	Non-significant
TERF1	-0.046047597	8.04222541671667e-12	Non-significant
CAMSAP3	-0.125024562	8.12783047015896e-12	Non-significant
NCK1	0.215577707443731	8.13313020121186e-12	Non-significant
INTS4	-0.131182465	8.3040925978054e-12	Non-significant
SQLE	0.0564339993161443	8.34246532204144e-12	Non-significant
RNF167	-0.061576336	8.41012492841908e-12	Non-significant
TRIM47	0.216671909479164	8.55751681937356e-12	Non-significant
RPS27A	-0.247858909	8.55939268883274e-12	Non-significant
ZNF830	-0.086152646	8.57813236390216e-12	Non-significant
NDUFA8	-0.334448459	8.68960298696477e-12	Non-significant
VPS53	-0.177577661	8.70063078583855e-12	Non-significant
RAE1	-0.175211235	8.87596442370313e-12	Non-significant
OTULIN	0.153512276264792	8.88559173306562e-12	Non-significant
MINPP1	-0.234341897	8.90583696395892e-12	Non-significant
PSEN2	-0.051205974	9.06768298368346e-12	Non-significant
ARHGAP45	0.342829592522296	9.12341501729666e-12	Non-significant
CCDC12	-0.194206414	9.14915708811873e-12	Non-significant
RBFOX2	0.267398924379423	9.14915708811873e-12	Non-significant
KLKB1	0.521466985159939	9.19184573599057e-12	Non-significant
PPP6R2	-0.130342539	9.21208701352344e-12	Non-significant
INTS12	-0.142595574	9.33957723767575e-12	Non-significant
GALC	0.298340099015144	9.42670625164444e-12	Non-significant
HSPG2	0.368087882902196	9.54789734109047e-12	Non-significant
LIPA	0.340372460770112	9.71802232348333e-12	Non-significant
ZMPSTE24	-0.444761418	1.03138419241785e-11	Non-significant
MCF2L	-0.097500572	1.03147672095282e-11	Non-significant
C11orf96	0.575642874795121	1.03818825570076e-11	Non-significant
NUBP2	-0.189587073	1.04047148879536e-11	Non-significant
NBEAL2	0.249251407439678	1.04535667921511e-11	Non-significant
OAS1	0.417084641365668	1.05055428240009e-11	Non-significant
WLS	-0.186578667	1.06345244320365e-11	Non-significant
LAMC3	-0.499511865	1.07003648341892e-11	Non-significant
ADAT3	-0.077466005	1.08898179970277e-11	Non-significant
MRTFB	-0.143059415	1.09801337890138e-11	Non-significant
SNX8	0.118113030397854	1.10313093378898e-11	Non-significant
VPS11	0.145177836082231	1.11629304096894e-11	Non-significant
NOP16	-0.177719547	1.14274586686265e-11	Non-significant
WDHD1	0.324584147348539	1.14667595743818e-11	Non-significant
COG2	-0.231817009	1.15994659929473e-11	Non-significant
KRT82	-0.232855863	1.16455557145057e-11	Non-significant
CEP57	-0.067643248	1.18774113120064e-11	Non-significant
CWF19L1	-0.170163758	1.18791852758413e-11	Non-significant
MRPL19	-0.235380657	1.19887020391965e-11	Non-significant
FDPS	0.337908825758775	1.19997598470338e-11	Non-significant
KPNA2	0.187681057723118	1.25162957130388e-11	Non-significant
TSPAN1	0.437304846445626	1.26269430600326e-11	Non-significant
ITGAX	0.394084292801804	1.28797631336285e-11	Non-significant
AHCTF1	-0.113584559	1.29318845370152e-11	Non-significant
GPC6	0.335181880749767	1.31286325825973e-11	Non-significant
ARFGAP3	-0.397836212	1.35518285743229e-11	Non-significant
STARD10	-0.490884745	1.35895888734993e-11	Non-significant
ZNF48	-0.078986481	1.40977756606707e-11	Non-significant
PGAM2	-0.099778315	1.41388157903478e-11	Non-significant
CPVL	0.477930582319858	1.44909749606678e-11	Non-significant
PUS7L	-0.034823037	1.4496639718668e-11	Non-significant
PARP10	0.168190372582152	1.45836788486475e-11	Non-significant
NKAP	-0.076701847	1.45992614824303e-11	Non-significant
CHL1	-0.21039054	1.47972113381354e-11	Non-significant
PPP1R13L	0.27384168075986	1.48022918519639e-11	Non-significant
MAFG	0.169863363227158	1.48496605675265e-11	Non-significant
HDAC1	0.239926679597906	1.5297880880661e-11	Non-significant
DPEP1	-0.480406142	1.56625963314934e-11	Non-significant
RPS11	-0.410600389	1.57975715709081e-11	Non-significant
TRIOBP	0.229700551750609	1.59239876546416e-11	Non-significant
MECOM	-0.07063839	1.61166338019496e-11	Non-significant
C1QTNF3	0.541299302766978	1.62533495903184e-11	Non-significant
EPN2	0.132358837862395	1.65308113467714e-11	Non-significant
SNRPB2	0.302979464782628	1.6613841038918e-11	Non-significant
NUDC	-0.259386845	1.66829063758043e-11	Non-significant
FAF2	-0.218601829	1.67434351105646e-11	Non-significant
LIMK1	0.137987766493688	1.67598062754064e-11	Non-significant
XPC	-0.171321286	1.70738558374344e-11	Non-significant
SCD5	-0.203135893	1.71229680786894e-11	Non-significant
SH3BGRL	0.367878372127271	1.71609330610356e-11	Non-significant
ITGA5	0.299133508821559	1.71777712934422e-11	Non-significant
ADAR	0.176142428166411	1.74829049183747e-11	Non-significant
ANKFY1	0.237469888473387	1.76738854308121e-11	Non-significant
RASAL1	0.21815185430383	1.7677084838314e-11	Non-significant
APTX	-0.169749437	1.77580050195878e-11	Non-significant
VPS37B	0.157550830482265	1.77962366191751e-11	Non-significant
KRT6A	1.2695026618042	1.78883603022725e-11	UP
IFIT2	0.222549918244759	1.79178954785994e-11	Non-significant
WAS	0.262036836407027	1.80629015113928e-11	Non-significant
FAM50A	0.199615347455038	1.82822598525172e-11	Non-significant
HMGB2	0.396982450531816	1.83359339988726e-11	Non-significant
SLC25A10	-0.28179227	1.86808323418209e-11	Non-significant
CASKIN2	-0.180866833	1.90034506969869e-11	Non-significant
GRP	-0.127436303	1.93573662228309e-11	Non-significant
CD47	0.407635674305794	1.93573662228309e-11	Non-significant
PRSS23	0.239557464559973	1.94386829135414e-11	Non-significant
ARF1	-0.382982886	1.95429348859612e-11	Non-significant
TF	0.647345207923046	1.98812216677511e-11	Non-significant
PSMF1	-0.18368521	2.00649247711239e-11	Non-significant
FGD4	-0.212022409	2.01220868983785e-11	Non-significant
ASAH1	0.378633538797926	2.01659639698075e-11	Non-significant
ESYT2	0.217098559859828	2.04076338068953e-11	Non-significant
IFT140	-0.07841745	2.05173435427652e-11	Non-significant
CDKAL1	-0.183253771	2.05173435427652e-11	Non-significant
PEPD	0.263398242236143	2.07867733610108e-11	Non-significant
AK2	-0.283433946	2.08342761865178e-11	Non-significant
FAIM	-0.123003159	2.0844737514785e-11	Non-significant
UBE2V2	0.328912447056035	2.1575223344752e-11	Non-significant
GALE	0.411860597830987	2.18139299204680e-11	Non-significant
DDX24	0.205701618409993	2.18372386903828e-11	Non-significant
MTMR2	0.157449504718025	2.19037941831351e-11	Non-significant
RALGAPA2	-0.1543393	2.23601048595424e-11	Non-significant
CIZ1	-0.210287618	2.33507115156375e-11	Non-significant
PRKRIP1	-0.148156777	2.35639882740019e-11	Non-significant
BCL10	0.190908737040234	2.3609074018877e-11	Non-significant
FKBP15	0.161178166342306	2.385531231012e-11	Non-significant
RPS29	-0.469736065	2.55344685469654e-11	Non-significant
EIF4A2	-0.420947846	2.55385590209371e-11	Non-significant
MCMBP	0.150656268877946	2.55547586216259e-11	Non-significant
DGKE	-0.212258073	2.55601528779739e-11	Non-significant
FAM213A	-0.444698596	2.56262793933556e-11	Non-significant
BNIP2	0.0914718168612134	2.57004670857062e-11	Non-significant
KRT71	0.390900076571727	2.60787862931473e-11	Non-significant
NBAS	-0.185084402	2.62506226978506e-11	Non-significant
IDE	-0.224552267	2.62932144585091e-11	Non-significant
PCYT1A	0.268849533095856	2.63539010321282e-11	Non-significant
RPL32	-0.446448972	2.66552359052411e-11	Non-significant
CBLB	0.0737678454443166	2.73289951260777e-11	Non-significant
RAB11FIP1	0.208647179529211	2.77747041308674e-11	Non-significant
CD53	0.209223805493565	2.77747041308674e-11	Non-significant
SDHD	-0.026077335	2.80210233135206e-11	Non-significant
FAM172A	-0.147746781	2.81460079846512e-11	Non-significant
STRN	0.194202903641862	2.82596741487413e-11	Non-significant
DCAKD	-0.202625394	2.84411108975532e-11	Non-significant
ERO1A	0.516252231593356	2.84839253307169e-11	Non-significant
REPS2	-0.091159093	2.84955369758834e-11	Non-significant
CHMP3	0.424668128242529	2.87322208360835e-11	Non-significant
CA12	-0.290628065	2.87396552847567e-11	Non-significant
SEPHS1	-0.148258979	2.92424766728424e-11	Non-significant
LANCL2	-0.161043708	2.97285550945098e-11	Non-significant
REEP6	-0.32073357	3.0213836327696e-11	Non-significant
TRIM41	-0.219000092	3.02715466269581e-11	Non-significant
MRPS27	-0.248353607	3.0543316228008e-11	Non-significant
PPP1R13B	-0.073250085	3.05463474352414e-11	Non-significant
MACROD1	-0.322915765	3.06779414770846e-11	Non-significant
SLC2A1	0.506152895788748	3.14093274724531e-11	Non-significant
PITPNA	0.241564079449771	3.14701946002115e-11	Non-significant
PTPN18	0.111929367187157	3.15744498139215e-11	Non-significant
CAND1	0.300180486504568	3.20696249056223e-11	Non-significant
PDGFA	-0.043771743	3.23448067881419e-11	Non-significant
NPTX2	-0.256526272	3.25351019885405e-11	Non-significant
SPRYD7	-0.154286683	3.25351019885405e-11	Non-significant
PITPNC1	-0.141676281	3.25622411925994e-11	Non-significant
RGPD3	0.0456468035231426	3.26503674063493e-11	Non-significant
SIRT3	-0.142829292	3.30193486918879e-11	Non-significant
SLIRP	-0.367146813	3.3477574522716e-11	Non-significant
GAS7	0.222988671050409	3.35962553133276e-11	Non-significant
ATP6AP2	0.131247563346409	3.36202586782435e-11	Non-significant
CCL18	0.35038513611025	3.51434993238116e-11	Non-significant
AFM	0.555905983247351	3.53172983399909e-11	Non-significant
NUP93	0.188432041147076	3.55710122605596e-11	Non-significant
ARL3	0.271698185444146	3.58786486742203e-11	Non-significant
GPC4	0.224042233694048	3.62593336097824e-11	Non-significant
PIK3CD	0.181589402409481	3.63981738349678e-11	Non-significant
NANS	-0.350742455	3.73061094687245e-11	Non-significant
EDIL3	0.192493681199192	3.78862828499061e-11	Non-significant
PDCD6IP	0.2684032747284	3.79750245043754e-11	Non-significant
CEACAM5	0.848003735516632	3.80879939398609e-11	Non-significant
RPL17	-0.503613532	3.85543451753143e-11	Non-significant
IVD	-0.400421523	3.97857212991979e-11	Non-significant
RALB	0.238689400117309	4.03458552131255e-11	Non-significant
ADRM1	0.266143606608631	4.04616033444927e-11	Non-significant
C8orf37	-0.035160311	4.07187596426716e-11	Non-significant
HLA_F	0.159665166789505	4.12836069685553e-11	Non-significant
PROS1	0.548268090881223	4.25315885722432e-11	Non-significant
ARHGAP10	0.148885595360728	4.44419369385592e-11	Non-significant
CASR	-0.045849096	4.48184867582959e-11	Non-significant
PILRA	0.0694314303148957	4.56241057447474e-11	Non-significant
PLA2G4A	0.185622202595292	4.57086321671218e-11	Non-significant
TMEM126B	-0.030046721	4.58667363009299e-11	Non-significant
PSMB5	-0.283124238	4.64823503143193e-11	Non-significant
MFGE8	0.524010536595599	4.75113180535742e-11	Non-significant
HDHD2	-0.421171632	4.76019898508856e-11	Non-significant
SLC25A1	-0.561848962	4.78570023749485e-11	Non-significant
CARD11	0.107206102802528	4.7947637983344e-11	Non-significant
SRSF10	0.377967986643223	4.83094445721073e-11	Non-significant
MCM4	0.387322772566779	4.91662564885523e-11	Non-significant
PITHD1	0.357214914652656	4.94813361487983e-11	Non-significant
IARS2	-0.26034356	4.99811727606322e-11	Non-significant
IGLL5	0.686272148552422	5.08407318698235e-11	Non-significant
FKBP1A	-0.321330041	5.1749271432826e-11	Non-significant
F13A1	0.532864839506627	5.18800438148612e-11	Non-significant
MTDH	-0.229816004	5.27066546385182e-11	Non-significant
ERG28	-0.045555763	5.28211171934026e-11	Non-significant
MST1	0.327847451417887	5.29455169694112e-11	Non-significant
BRAF	-0.097339403	5.36746403622472e-11	Non-significant
SERPINF2	0.594736596192297	5.36746403622472e-11	Non-significant
DNAAF1	0.937853968944258	5.36746403622472e-11	Non-significant
ZNF652	-0.110057941	5.47710073678804e-11	Non-significant
GNPDA2	0.282515716082213	5.49553475409889e-11	Non-significant
ADAMTSL2	0.661354268673152	5.53594847779877e-11	Non-significant
SPTY2D1	-0.178132751	5.53594847779877e-11	Non-significant
MTFR1	-0.146147188	5.55715127679882e-11	Non-significant
ERCC2	0.0753898963316361	5.63338881272698e-11	Non-significant
PXN	0.233750666115221	5.79621880732037e-11	Non-significant
LAMA4	0.360027692111228	5.80319507433999e-11	Non-significant
HERC1	-0.115497747	5.85259489947684e-11	Non-significant
PARP1	-0.326257672	5.91151168836326e-11	Non-significant
SF3B2	-0.18497301	5.94982849352415e-11	Non-significant
LSG1	-0.229863967	5.94982849352415e-11	Non-significant
RABGAP1L	0.115653359741301	5.95381233772681e-11	Non-significant
TAPT1	-0.132657664	5.95995360672066e-11	Non-significant
ACTC1	0.408633217250335	6.00603086556471e-11	Non-significant
HBD	-0.989547404	6.09764051309594e-11	Non-significant
LRRC45	-0.047812084	6.13264182603348e-11	Non-significant
DTD2	-0.012774222	6.13362480308603e-11	Non-significant
FNTA	0.23119764914015	6.22118317935900e-11	Non-significant
DDX5	0.1858701380118	6.33249659484609e-11	Non-significant
ROMO1	-0.141103319	6.38908725924751e-11	Non-significant
SMAD1	-0.072708074	6.39722137878452e-11	Non-significant
FAM102B	0.0355964264625704	6.43059904640519e-11	Non-significant
NEXN	0.426397900896971	6.58254193806642e-11	Non-significant
LUM	0.75304348257731	6.6189834619774e-11	Non-significant
PPP4R2	-0.158431718	6.62110502022555e-11	Non-significant
TMED9	-0.417964306	6.65260218991831e-11	Non-significant
PRMT9	-0.075427157	6.65444390749565e-11	Non-significant
THADA	-0.107020129	6.76411271464361e-11	Non-significant
ANOS1	0.049274781139225	6.79586595787682e-11	Non-significant
NVL	-0.079098497	6.81079134225055e-11	Non-significant
ADCY9	-0.081448765	6.87585957471351e-11	Non-significant
NUDT4B	-0.103583216	6.99318823091301e-11	Non-significant
RTCB	-0.221919684	7.02592600564623e-11	Non-significant
TACC3	0.100392569775511	7.02592600564623e-11	Non-significant
MANBAL	-0.120630104	7.04968213709265e-11	Non-significant
PGPEP1	-0.081647768	7.05579861033365e-11	Non-significant
WDR77	-0.2226003	7.07277098035142e-11	Non-significant
