Protein	logFC	adj.P.Val	class
KIF21A	-0.429877558	2.32225827530575e-35	Non-significant
ANXA2	0.765019191211859	2.80572993449709e-35	Non-significant
LGALS3BP	1.09330346525959	2.85855044266848e-35	UP
MXRA5	1.14673987240001	2.85855044266848e-35	UP
PRDX4	-1.159351946	3.55370085508129e-35	DOWN
ACADL	-1.190424737	3.82675751176657e-35	DOWN
PCCA	-0.652029793	4.67412703161735e-35	Non-significant
RPLP1	-1.189860348	5.95764378053391e-35	DOWN
OGDHL	-0.176881225	6.16410006960342e-35	Non-significant
NAA16	-0.648826643	8.04583241455472e-35	Non-significant
SEC23A	0.726192262737211	9.51750913649436e-35	Non-significant
NOSTRIN	-0.610550345	9.75599832523398e-35	Non-significant
PNLIPRP1	-2.175201553	9.86569681035975e-35	DOWN
HSP90B1	-0.757722479	1.05307023952502e-34	Non-significant
HK2	0.793777277505397	1.16662910471648e-34	Non-significant
MAST3	-0.319003448	1.21968165539271e-34	Non-significant
AFAP1	0.548202947010057	1.25574956588237e-34	Non-significant
RFC1	-0.390761977	1.27473342748281e-34	Non-significant
RPL26	-0.905746058	1.55090086986371e-34	Non-significant
MKNK1	-0.461590391	1.83663446880124e-34	Non-significant
RPLP0	-1.114297285	1.87690138969057e-34	DOWN
CLIC1	0.634428511731015	1.98607101692763e-34	Non-significant
ACAT1	-1.310967094	2.09389851070492e-34	DOWN
PFKP	0.907261156203673	2.16214325925509e-34	Non-significant
HOGA1	-0.722860625	2.35961362410084e-34	Non-significant
MCUR1	-0.687959068	2.44229743327033e-34	Non-significant
THBS2	1.65618513052922	2.5327051541607e-34	UP
ARPC2	0.51731116249826	2.65819407196153e-34	Non-significant
CLYBL	-0.711734931	3.41938793825245e-34	Non-significant
HBS1L	-0.522371384	3.78228088906454e-34	Non-significant
SLC16A7	-0.764047815	3.88904137995406e-34	Non-significant
EPHX1	-1.414615473	4.29937367528561e-34	DOWN
MTIF2	-0.589465335	4.57208325159903e-34	Non-significant
DBT	-0.789961366	4.60599979751151e-34	Non-significant
PDLIM7	0.963534480332066	4.74091000690616e-34	Non-significant
FAT1	0.630773589586112	5.48890804328149e-34	Non-significant
SDF2L1	-0.886668345	6.10814336443463e-34	Non-significant
ITGAV	0.647738415008711	6.60857020594034e-34	Non-significant
ALG5	-0.988595905	6.60857020594034e-34	Non-significant
CPA1	-2.568250191	8.18599677414806e-34	DOWN
MDK	0.903924146093344	9.20669250873767e-34	Non-significant
PLPBP	-0.772856859	9.64071013758943e-34	Non-significant
LAMC2	1.37078222486955	9.75056328092062e-34	UP
NADK2	-0.701375735	9.77133822978413e-34	Non-significant
BCKDHA	-0.661795666	9.77133822978413e-34	Non-significant
CBS	-1.103285358	9.88393333541776e-34	DOWN
CAP1	0.770242449918054	1.11027689176548e-33	Non-significant
NDUFA6	-0.664710442	1.12974390235359e-33	Non-significant
GMPPA	-0.644475921	1.23673666215575e-33	Non-significant
HSPA5	-0.892582273	1.24788853023157e-33	Non-significant
ACTR3	0.524659318788413	1.50891212407675e-33	Non-significant
ALDH6A1	-1.299961844	1.55888665163648e-33	DOWN
SRPRA	-1.143163101	1.82356175068406e-33	DOWN
ASNS	-1.105852779	1.85902695764603e-33	DOWN
GPT2	-0.677717431	1.91775300852156e-33	Non-significant
KIF1A	-0.334910949	2.18146660665674e-33	Non-significant
ACSL4	0.392127239947345	2.20623499178616e-33	Non-significant
SSR1	-1.591880472	2.22761041584943e-33	DOWN
MICALL2	0.461005417710607	2.36855893840628e-33	Non-significant
PDLIM4	0.864468233752757	2.57796188868331e-33	Non-significant
ITGA2	0.855540222964172	2.95193695875434e-33	Non-significant
CEL	-2.606264438	3.30443520219214e-33	DOWN
FAM13A	-0.264173199	3.84176171865155e-33	Non-significant
SND1	-0.782837096	3.91772041252361e-33	Non-significant
EEF1B2	-0.899300468	4.28268414359012e-33	Non-significant
SYCN	-2.65290332	4.41009043367061e-33	DOWN
CTHRC1	1.29365578845086	4.42178553685962e-33	UP
TRAM1	-0.891649852	4.55726467074132e-33	Non-significant
CELA2A	-2.393023047	4.68132711507908e-33	DOWN
AKAP7	-0.816756898	4.96079983757733e-33	Non-significant
CTRL	-1.293243033	5.18211833944253e-33	DOWN
AQP12B	-1.240386893	5.47773404593207e-33	DOWN
AHNAK2	0.975288198512121	5.56165332605027e-33	Non-significant
PALLD	0.977257103881921	5.9795655684675e-33	Non-significant
CAPG	0.90833019393787	6.72182719445651e-33	Non-significant
SPCS3	-1.329356852	6.76563484821794e-33	DOWN
MYEF2	-0.587257613	7.66738079337022e-33	Non-significant
MVP	0.605673124487818	7.81582998031029e-33	Non-significant
FNDC3A	-0.640412592	7.83963277930661e-33	Non-significant
NNMT	0.993648749056077	7.97294024249388e-33	Non-significant
NUCB2	-1.053701856	8.70935426319804e-33	DOWN
AIFM1	-0.843572359	8.70935426319804e-33	Non-significant
ACADM	-1.039509167	9.68549504484565e-33	DOWN
PLCB1	-0.406522238	1.04041901471565e-32	Non-significant
