Protein_sample	Phosphosite_sample	Cor_sample	group
T_C3N_01168	T_C3N_01168	T_C3N_01168	T
T_C3L_00622	T_C3L_00622	T_C3L_00622	T
T_C3N_01381	T_C3N_01381	T_C3N_01381	T
T_C3L_01703	T_C3L_01703	T_C3L_01703	T
T_C3L_02118	T_C3L_02118	T_C3L_02118	T
T_C3L_03628	T_C3L_03628	T_C3L_03628	T
T_C3N_03780	T_C3N_03780	T_C3N_03780	T
T_C3L_01637	T_C3L_01637	T_C3L_01637	T
T_C3N_04119	T_C3N_04119	T_C3N_04119	T
T_C3L_02899	T_C3L_02899	T_C3L_02899	T
T_C3N_02971	T_C3N_02971	T_C3N_02971	T
T_C3N_02573	T_C3N_02573	T_C3N_02573	T
T_C3L_00819	T_C3L_00819	T_C3L_00819	T
T_C3N_01714	T_C3N_01714	T_C3N_01714	T
T_C3L_02890	T_C3L_02890	T_C3L_02890	T
T_C3L_02116	T_C3L_02116	T_C3L_02116	T
T_C3L_01453	T_C3L_01453	T_C3L_01453	T
T_C3L_03635	T_C3L_03635	T_C3L_03635	T
T_C3N_00518	T_C3N_00518	T_C3N_00518	T
T_C3N_03840	T_C3N_03840	T_C3N_03840	T
T_C3L_02606	T_C3L_02606	T_C3L_02606	T
T_C3N_03061	T_C3N_03061	T_C3N_03061	T
T_C3L_04848	T_C3L_04848	T_C3L_04848	T
T_C3N_00514	T_C3N_00514	T_C3N_00514	T
T_C3L_02897	T_C3L_02897	T_C3L_02897	T
T_C3L_01687	T_C3L_01687	T_C3L_01687	T
T_C3N_02940	T_C3N_02940	T_C3N_02940	T
T_C3L_04080	T_C3L_04080	T_C3L_04080	T
T_C3N_03853	T_C3N_03853	T_C3N_03853	T
T_C3N_04283	T_C3N_04283	T_C3N_04283	T
T_C3L_02109	T_C3L_02109	T_C3L_02109	T
T_C3L_03630	T_C3L_03630	T_C3L_03630	T
T_C3L_01662	T_C3L_01662	T_C3L_01662	T
T_C3N_00709	T_C3N_00709	T_C3N_00709	T
T_C3N_03007	T_C3N_03007	T_C3N_03007	T
T_C3N_03665	T_C3N_03665	T_C3N_03665	T
T_C3L_01598	T_C3L_01598	T_C3L_01598	T
T_C3L_00599	T_C3L_00599	T_C3L_00599	T
T_C3L_01051	T_C3L_01051	T_C3L_01051	T
T_C3N_01716	T_C3N_01716	T_C3N_01716	T
T_C3N_03839	T_C3N_03839	T_C3N_03839	T
T_C3L_04479	T_C3L_04479	T_C3L_04479	T
T_C3L_00625	T_C3L_00625	T_C3L_00625	T
T_C3N_03754	T_C3N_03754	T_C3N_03754	T
T_C3L_01037	T_C3L_01037	T_C3L_01037	T
T_C3N_03666	T_C3N_03666	T_C3N_03666	T
T_C3N_04126	T_C3N_04126	T_C3N_04126	T
T_C3L_00017	T_C3L_00017	T_C3L_00017	T
T_C3L_01689	T_C3L_01689	T_C3L_01689	T
T_C3L_04027	T_C3L_04027	T_C3L_04027	T
T_C3N_02585	T_C3N_02585	T_C3N_02585	T
T_C3N_03039	T_C3N_03039	T_C3N_03039	T
T_C3N_03086	T_C3N_03086	T_C3N_03086	T
T_C3L_02463	T_C3L_02463	T_C3L_02463	T
T_C3N_00249	T_C3N_00249	T_C3N_00249	T
T_C3L_00589	T_C3L_00589	T_C3L_00589	T
T_C3N_00302	T_C3N_00302	T_C3N_00302	T
T_C3L_03743	T_C3L_03743	T_C3L_03743	T
T_C3N_00511	T_C3N_00511	T_C3N_00511	T
T_C3N_03190	T_C3N_03190	T_C3N_03190	T
T_C3N_00516	T_C3N_00516	T_C3N_00516	T
T_C3L_02610	T_C3L_02610	T_C3L_02610	T
T_C3N_02579	T_C3N_02579	T_C3N_02579	T
T_C3N_03000	T_C3N_03000	T_C3N_03000	T
T_C3L_00598	T_C3L_00598	T_C3L_00598	T
T_C3N_03430	T_C3N_03430	T_C3N_03430	T
T_C3L_02809	T_C3L_02809	T_C3L_02809	T
T_C3N_02768	T_C3N_02768	T_C3N_02768	T
T_C3L_03123	T_C3L_03123	T_C3L_03123	T
T_C3N_02010	T_C3N_02010	T_C3N_02010	T
T_C3L_01031	T_C3L_01031	T_C3L_01031	T
T_C3N_01167	T_C3N_01167	T_C3N_01167	T
T_C3L_01971	T_C3L_01971	T_C3L_01971	T
T_C3L_02604	T_C3L_02604	T_C3L_02604	T
T_C3L_00277	T_C3L_00277	T_C3L_00277	T
T_C3L_01328	T_C3L_01328	T_C3L_01328	T
T_C3L_03639	T_C3L_03639	T_C3L_03639	T
T_C3N_04282	T_C3N_04282	T_C3N_04282	T
T_C3L_04072	T_C3L_04072	T_C3L_04072	T
T_C3L_02613	T_C3L_02613	T_C3L_02613	T
N_C3L_03123	N_C3L_03123	N_C3L_03123	N
N_C3N_03884	N_C3N_03884	N_C3N_03884	N
N_C3L_03630	N_C3L_03630	N_C3L_03630	N
N_C3L_03356	N_C3L_03356	N_C3L_03356	N
N_C3L_01054	N_C3L_01054	N_C3L_01054	N
N_C3L_04495	N_C3L_04495	N_C3L_04495	N
N_C3L_02610	N_C3L_02610	N_C3L_02610	N
N_C3L_03388	N_C3L_03388	N_C3L_03388	N
N_C3N_02768	N_C3N_02768	N_C3N_02768	N
N_C3N_01998	N_C3N_01998	N_C3N_01998	N
N_C3L_01971	N_C3L_01971	N_C3L_01971	N
N_C3N_00249	N_C3N_00249	N_C3N_00249	N
N_C3L_01637	N_C3L_01637	N_C3L_01637	N
N_C3L_01598	N_C3L_01598	N_C3L_01598	N
N_C3L_02809	N_C3L_02809	N_C3L_02809	N
N_C3L_02606	N_C3L_02606	N_C3L_02606	N
N_C3N_01997	N_C3N_01997	N_C3N_01997	N
N_C3N_02589	N_C3N_02589	N_C3N_02589	N
N_C3L_04479	N_C3L_04479	N_C3L_04479	N
N_C3L_01051	N_C3L_01051	N_C3L_01051	N
N_C3N_03211	N_C3N_03211	N_C3N_03211	N
N_C3L_04473	N_C3L_04473	N_C3L_04473	N
N_C3N_00436	N_C3N_00436	N_C3N_00436	N
N_C3N_00513	N_C3N_00513	N_C3N_00513	N
N_C3L_00277	N_C3L_00277	N_C3L_00277	N
N_C3L_00881	N_C3L_00881	N_C3L_00881	N
N_C3L_04848	N_C3L_04848	N_C3L_04848	N
N_C3L_01037	N_C3L_01037	N_C3L_01037	N
N_C3L_01036	N_C3L_01036	N_C3L_01036	N
